start_range, end_range, start_end, input_value, parallelism, accuracy, precision, storage, num_inp_vals, observed, obs_dec, expected, exp_dec, obs_dec-exp_dec, abs_err
-0.1,0.1,-0.1 to 0.1,0xab64,8,dw,float16,mem,512,0x1775,0.001821,0x177a,0.001825,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0xa972,8,dw,float16,mem,512,0x1793,0.001849,0x1798,0.001854,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0xada9,8,dw,float16,mem,512,0x173b,0.001765,0x1741,0.001771,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xac31,8,dw,float16,mem,512,0x1766,0.001806,0x176b,0.001811,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0xa428,8,dw,float16,mem,512,0x17c9,0.001901,0x17cc,0.001904,-2.86e-06,2.86e-06
-0.1,0.1,-0.1 to 0.1,0x2d74,8,dw,float16,mem,512,0x184f,0.002104,0x1850,0.002106,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x29ec,8,dw,float16,mem,512,0x1825,0.002024,0x1826,0.002026,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x2376,8,dw,float16,mem,512,0x1800,0.001953,0x1805,0.001963,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x2c69,8,dw,float16,mem,512,0x183a,0.002064,0x183e,0.002071,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xad3a,8,dw,float16,mem,512,0x1749,0.001779,0x174d,0.001782,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2cce,8,dw,float16,mem,512,0x1842,0.002079,0x1845,0.002085,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2417,8,dw,float16,mem,512,0x1804,0.00196,0x1806,0.001965,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xac0b,8,dw,float16,mem,512,0x176e,0.001814,0x1770,0.001816,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0xae0d,8,dw,float16,mem,512,0x1733,0.001758,0x1735,0.00176,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x2c5c,8,dw,float16,mem,512,0x183a,0.002064,0x183d,0.00207,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xaa69,8,dw,float16,mem,512,0x1784,0.001835,0x1789,0.00184,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0xa4f2,8,dw,float16,mem,512,0x17c1,0.001893,0x17c6,0.001898,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0x2925,8,dw,float16,mem,512,0x181d,0.002008,0x1820,0.002014,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xa5b1,8,dw,float16,mem,512,0x17ba,0.001886,0x17c0,0.001892,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xa859,8,dw,float16,mem,512,0x17a3,0.001864,0x17a9,0.00187,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2d2e,8,dw,float16,mem,512,0x1847,0.002089,0x184b,0.002096,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2d45,8,dw,float16,mem,512,0x184b,0.002096,0x184d,0.0021,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2792,8,dw,float16,mem,512,0x1810,0.001984,0x1815,0.001993,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x1e18,8,dw,float16,mem,512,0x17f0,0.001938,0x17f8,0.0019455,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2958,8,dw,float16,mem,512,0x181d,0.002008,0x1822,0.002018,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x2d7e,8,dw,float16,mem,512,0x184f,0.002104,0x1851,0.002108,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x22b0,8,dw,float16,mem,512,0x1800,0.001953,0x1803,0.001959,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xa137,8,dw,float16,mem,512,0x17d1,0.001908,0x17d7,0.001914,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2c61,8,dw,float16,mem,512,0x183a,0.002064,0x183e,0.002071,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xae13,8,dw,float16,mem,512,0x172c,0.001751,0x1735,0.00176,-8.6e-06,8.6e-06
-0.1,0.1,-0.1 to 0.1,0x2af4,8,dw,float16,mem,512,0x182d,0.002039,0x182f,0.002043,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2dec,8,dw,float16,mem,512,0x1854,0.002113,0x1858,0.002121,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xad92,8,dw,float16,mem,512,0x173b,0.001765,0x1743,0.001773,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2c3a,8,dw,float16,mem,512,0x183a,0.002064,0x183b,0.002066,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x2b11,8,dw,float16,mem,512,0x182d,0.002039,0x1830,0.002045,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2cf3,8,dw,float16,mem,512,0x1847,0.002089,0x1847,0.002089,0.0,0.0
-0.1,0.1,-0.1 to 0.1,0x1269,8,dw,float16,mem,512,0x17e9,0.001931,0x17ee,0.001936,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0xa9eb,8,dw,float16,mem,512,0x178c,0.0018425,0x1790,0.001846,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x1de8,8,dw,float16,mem,512,0x17f0,0.001938,0x17f8,0.0019455,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2da8,8,dw,float16,mem,512,0x184f,0.002104,0x1854,0.002113,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x282d,8,dw,float16,mem,512,0x1815,0.001993,0x1818,0.001999,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2e09,8,dw,float16,mem,512,0x1858,0.002121,0x185a,0.002125,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x1c25,8,dw,float16,mem,512,0x17f0,0.001938,0x17f4,0.001942,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xaa01,8,dw,float16,mem,512,0x178c,0.0018425,0x178f,0.001845,-2.86e-06,2.86e-06
-0.1,0.1,-0.1 to 0.1,0x2521,8,dw,float16,mem,512,0x1808,0.001968,0x180b,0.001974,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xa955,8,dw,float16,mem,512,0x1793,0.001849,0x1799,0.001855,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2d3a,8,dw,float16,mem,512,0x184b,0.002096,0x184c,0.002098,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x2473,8,dw,float16,mem,512,0x1804,0.00196,0x1808,0.001968,-7.6e-06,7.6e-06
