start_range, end_range, start_end, input_value, parallelism, accuracy, precision, storage, num_inp_vals, observed, obs_dec, expected, exp_dec, obs_dec-exp_dec, abs_err
-0.1,0.1,-0.1 to 0.1,0x9d79,8,dw,float16,mem,512,0x17f8,0.0019455,0x17fc,0.001949,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa0be,8,dw,float16,mem,512,0x17f0,0.001938,0x17f4,0.001942,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xadfc,8,dw,float16,mem,512,0x1750,0.001785,0x174f,0.001784,9.5e-07,9.5e-07
-0.1,0.1,-0.1 to 0.1,0xad9c,8,dw,float16,mem,512,0x1758,0.001793,0x175a,0.001795,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x2ab7,8,dw,float16,mem,512,0x183a,0.002064,0x183b,0.002066,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x2cad,8,dw,float16,mem,512,0x184f,0.002104,0x1852,0.00211,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xa790,8,dw,float16,mem,512,0x17c9,0.001901,0x17cb,0.001903,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0xaba5,8,dw,float16,mem,512,0x178c,0.0018425,0x1790,0.001846,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa05c,8,dw,float16,mem,512,0x17f0,0.001938,0x17f6,0.001944,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2a89,8,dw,float16,mem,512,0x183a,0.002064,0x183a,0.002064,0.0,0.0
-0.1,0.1,-0.1 to 0.1,0x2a26,8,dw,float16,mem,512,0x1836,0.002056,0x1836,0.002056,0.0,0.0
-0.1,0.1,-0.1 to 0.1,0xa96a,8,dw,float16,mem,512,0x17b2,0.001879,0x17b2,0.001879,0.0,0.0
-0.1,0.1,-0.1 to 0.1,0xae06,8,dw,float16,mem,512,0x1749,0.001779,0x174e,0.001783,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0xaac5,8,dw,float16,mem,512,0x179b,0.001857,0x179e,0.00186,-2.86e-06,2.86e-06
-0.1,0.1,-0.1 to 0.1,0xad73,8,dw,float16,mem,512,0x175f,0.0018,0x175f,0.0018,0.0,0.0
-0.1,0.1,-0.1 to 0.1,0x2024,8,dw,float16,mem,512,0x180c,0.001976,0x180c,0.001976,0.0,0.0
-0.1,0.1,-0.1 to 0.1,0x29f3,8,dw,float16,mem,512,0x1831,0.002047,0x1835,0.002054,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xac3f,8,dw,float16,mem,512,0x177d,0.001828,0x1784,0.001835,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0xa95b,8,dw,float16,mem,512,0x17b2,0.001879,0x17b3,0.00188,-9.5e-07,9.5e-07
-0.1,0.1,-0.1 to 0.1,0x2ac8,8,dw,float16,mem,512,0x183a,0.002064,0x183c,0.002068,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa914,8,dw,float16,mem,512,0x17b2,0.001879,0x17b7,0.0018835,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0x2a2d,8,dw,float16,mem,512,0x1836,0.002056,0x1837,0.002058,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x0314,8,dw,float16,mem,512,0x1800,0.001953,0x1804,0.00196,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xa72d,8,dw,float16,mem,512,0x17c9,0.001901,0x17ce,0.001905,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0xae04,8,dw,float16,mem,512,0x1749,0.001779,0x174e,0.001783,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0x9161,8,dw,float16,mem,512,0x1800,0.001953,0x1803,0.001959,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2ba5,8,dw,float16,mem,512,0x1842,0.002079,0x1843,0.00208,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0xac7e,8,dw,float16,mem,512,0x1775,0.001821,0x177c,0.001827,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0xaad3,8,dw,float16,mem,512,0x179b,0.001857,0x179d,0.001859,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0xaa5b,8,dw,float16,mem,512,0x17a3,0.001864,0x17a4,0.001865,-9.5e-07,9.5e-07
-0.1,0.1,-0.1 to 0.1,0xa2b4,8,dw,float16,mem,512,0x17e9,0.001931,0x17ec,0.001934,-2.86e-06,2.86e-06
-0.1,0.1,-0.1 to 0.1,0xa93a,8,dw,float16,mem,512,0x17b2,0.001879,0x17b5,0.001882,-2.86e-06,2.86e-06
-0.1,0.1,-0.1 to 0.1,0x2611,8,dw,float16,mem,512,0x181d,0.002008,0x181d,0.002008,0.0,0.0
-0.1,0.1,-0.1 to 0.1,0xad6c,8,dw,float16,mem,512,0x175f,0.0018,0x1760,0.001801,-9.5e-07,9.5e-07
-0.1,0.1,-0.1 to 0.1,0x2ce7,8,dw,float16,mem,512,0x1854,0.002113,0x1856,0.002117,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2cce,8,dw,float16,mem,512,0x1854,0.002113,0x1854,0.002113,0.0,0.0
-0.1,0.1,-0.1 to 0.1,0xad53,8,dw,float16,mem,512,0x175f,0.0018,0x1763,0.001803,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2cc5,8,dw,float16,mem,512,0x1854,0.002113,0x1853,0.002111,1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0xac97,8,dw,float16,mem,512,0x1775,0.001821,0x1779,0.001824,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x8943,8,dw,float16,mem,512,0x1800,0.001953,0x1804,0.00196,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xad1b,8,dw,float16,mem,512,0x1766,0.001806,0x1769,0.001809,-2.86e-06,2.86e-06
-0.1,0.1,-0.1 to 0.1,0xabe1,8,dw,float16,mem,512,0x178c,0.0018425,0x178d,0.001843,-9.5e-07,9.5e-07
-0.1,0.1,-0.1 to 0.1,0x2ae8,8,dw,float16,mem,512,0x183a,0.002064,0x183d,0.00207,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xadfc,8,dw,float16,mem,512,0x1750,0.001785,0x174f,0.001784,9.5e-07,9.5e-07
-0.1,0.1,-0.1 to 0.1,0xace9,8,dw,float16,mem,512,0x176e,0.001814,0x1770,0.001816,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x253e,8,dw,float16,mem,512,0x1819,0.002,0x1819,0.002,0.0,0.0
-0.1,0.1,-0.1 to 0.1,0x2e0f,8,dw,float16,mem,512,0x1869,0.002153,0x186a,0.002155,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x2870,8,dw,float16,mem,512,0x1825,0.002024,0x1828,0.00203,-5.7e-06,5.7e-06
